review_id,source_platform,community_id,thread_id,source_item_id,url,model_id,provider_id,product_id,inference_profile,task_category,aspect_category,evidence_type,claim_type,polarity_score,extractor_confidence,firsthand_flag,regression_flag,hallucination_flag,refusal_flag,value_flag,evidence_text,classifier_task_category,classifier_task_confidence,classifier_aspect_category,classifier_aspect_confidence,classifier_evidence_type,classifier_evidence_confidence,classifier_polarity_score,classifier_polarity_confidence,classifier_firsthand_flag,classifier_firsthand_confidence,classifier_disagreement_count,reviewed_flag,human_excluded_from_scoring,human_exclusion_reason,human_provider_id,human_model_id,human_product_id,human_inference_profile,human_task_category,human_aspect_category,human_evidence_type,human_polarity_score,human_firsthand_flag,human_notes
b2b5f178d3a2461da1fb48d1ed0ad5ab,hacker_news,hacker_news,47149586,47152454,https://news.ycombinator.com/item?id=47152454,claude,anthropic,,,general,value,pricing_value_comment,neutral,0,0.53,False,False,False,False,True,"If anyone wants to do this let me know, I don't want to burn money on every LLM out there... I'll throw in my Claude Subscription into the contest... Edit: Actually the repo README indeed says its inspired by Screeps.",writing,0.454,satisfaction,0.348,firsthand_usage,0.398,0,0.370,true,0.710,5,,,,,,,,,,,,,
0df837a5f53a4bd78c9efc8552dcda9c,hacker_news,hacker_news,47573483,47577435,https://news.ycombinator.com/item?id=47577435,claude,anthropic,,,general,satisfaction,hearsay,complaint,-1,0.59,False,False,False,False,False,"Yes, worktrees with workmux. I expected this to become less necessary over time as models got faster, but the opposite has happened. It feels like Claude has actually gotten slower (but in fairness does more per prompt), meaning worktrees are even more essential now.",agents,0.973,developer_ergonomics,0.402,firsthand_usage,0.388,0,0.496,true,0.586,5,,,,,,,,,,,,,
14097975d4ef49499e404704ff09cef7,hacker_news,hacker_news,47721255,47724684,https://news.ycombinator.com/item?id=47724684,claude,anthropic,,,writing,trust_reliability,hearsay,praise,1,0.59,False,False,False,False,False,"I like how it allows for safe experimentation on OpenClaw functionality. Like others on this thread, I'm a bit hesitant about connecting to email services without knowing more about the developer and how they use data from connected services, but there's a lot of interesting things you can do with this even without connecting to anything. (The free credits are v helpful too, although the underlying Claude models burn through them quickly.) Thanks zachdive for sharing this, I had fun trying it out!",data_analysis,0.332,developer_ergonomics,0.289,firsthand_usage,0.463,2,0.398,true,0.714,5,,,,,,,,,,,,,
d88ecf713f854dbd863982d4bcb5a8b1,hacker_news,hacker_news,47794514,47796116,https://news.ycombinator.com/item?id=47796116,claude-opus-4.7,anthropic,,,writing,value,hearsay,praise,1,0.59,False,False,False,False,False,"You should be able to point Opus 4.7 to the repository and it will know how to set it up in your project. You are welcome to send me an email at [my_username]@gmail.com if you want to talk about some of these things that I'm working on that are in your space. `intercept` is just a proof-of-concept and at this point, if it added any value to what you are working on, that would be the best.",coding,0.631,task_fit,0.325,firsthand_usage,0.406,0,0.405,true,0.730,5,,,,,,,,,,,,,
f80633fa7526468db96d658eafa31fbc,hacker_news,hacker_news,48448372,48448372,https://rayline.ai/,claude,anthropic,claude-code,,research,task_fit,release_update_reaction,neutral,0,0.88,True,False,False,False,False,"Other routers exist, but we built Rayline to let us continue using claude code (no separate harness), route tasks at a subagent level, and route across cloud and on-device. The main agent often benefits from Opus. But many delegated calls have narrow scope: search the repo, summarize context, inspect an error, poll for CI updates, etc.",agents,0.910,developer_ergonomics,0.564,firsthand_usage,0.294,0,0.510,false,0.513,5,,,,,,,,,,,,,
12f2555cf2cd415ead748a1d5e0d8304,hacker_news,hacker_news,47494696,47569769,https://news.ycombinator.com/item?id=47569769,qwen,alibaba,,,general,satisfaction,hearsay,complaint,-1,0.53,False,False,False,False,False,I put a lot of emphasis on my explicit corrections where I told the AI it was wrong and what the right answer was and WHY. fine tuned qwen 4B on it with qlora. the model learned my voice perfectly - during training it would say things like 'no.,general,0.368,trust_reliability,0.376,firsthand_usage,0.360,1,0.374,true,0.930,4,,,,,,,,,,,,,
f9b5835e7ea64ff2b54eaa0fcb7a1b3b,hacker_news,hacker_news,43758459,43758459,https://news.ycombinator.com/item?id=43758459,gemini,google,chatgpt,,writing,value,pricing_value_comment,neutral,0,0.67,False,False,False,False,True,"This post focuses solely on the process and practical lessons learned collaborating with LLMs on a large writing project.) Hey HN, I recently finished a months-long project collaborating intensively with various LLMs (ChatGPT, Claude, Gemini) to write a book about using AI in management. The process became a meta-experiment, revealing practical workflows and pitfalls that felt worth sharing. This post breaks down the workflow, quirks, and lessons learned.",writing,0.777,task_fit,0.703,firsthand_usage,0.454,2,0.636,true,0.694,4,,,,,,,,,,,,,
05b2130c972d4915b9d2ab0d1bd9993e,hacker_news,hacker_news,47238519,47238566,https://news.ycombinator.com/item?id=47238566,llama,meta,,,long_context,satisfaction,firsthand_usage,neutral,0,0.7100000000000001,True,False,False,False,False,"ofcourse ofcourse, I've documented everything here: llama.cpp compiled as a native Android library via the NDK, linked into React Native through a custom JSI bridge. GGUF models loaded straight into memory. On Snapdragon devices we use QNN (Qualcomm Neural Network) for hardware acceleration.",api_developer_workflow,0.940,developer_ergonomics,0.547,integration_failure,0.400,1,0.386,true,0.711,4,,,,,,,,,,,,,
2123e6f7ba8548cc823f5a42ac5c3034,hacker_news,hacker_news,48402082,48402082,https://hitoku.me/draft/,qwen,alibaba,,,long_context,value,pricing_value_comment,neutral,0,0.73,False,False,False,False,True,"It's context-aware, in the sense that it reads your screen, documents, and active app to understand what you're working on. You can ask about PDFs, reply to emails, create calendar events, use web search, editing text, all by voice. You can download a compiled version for free with the code HITOKUHN2026 (base price is 5 dollars) It supports Gemma 4 and Qwen 3.5 for text generation, plus multiple STT backends (Parakeet, Qwen3-ASR).",writing,0.444,task_fit,0.473,comparative_evaluation,0.290,1,0.388,false,0.502,4,,,,,,,,,,,,,
f8f7970bd4de40a3ac42ee735e2096a3,hacker_news,hacker_news,47149586,47149586,https://llmskirmish.com/,claude-opus-4.5,anthropic,,,coding,trust_reliability,firsthand_usage,neutral,0,0.79,True,False,False,False,False,"In my testing I found that Claude Opus 4.5 was the most dominant model, but it showed weakness in round 1 as it was overly focused on its in-game economy. Meanwhile, I probably spent a third of all code on sandbox hardening because GPT 5.2 kept trying to cheat by pre-reading its opponent's strategies. If there's interest, I'm planning on doing a round of testing with the latest generation of LLMs (Claude 4.6 Opus, GPT 5.3 Codex, etc.).",agents,0.423,satisfaction,0.365,comparative_evaluation,0.447,-2,0.330,true,0.740,4,,,,,,,,,,,,,
