"review_id","source_platform","community_id","thread_id","source_item_id","url","model_id","provider_id","product_id","inference_profile","task_category","aspect_category","evidence_type","claim_type","polarity_score","extractor_confidence","firsthand_flag","regression_flag","hallucination_flag","refusal_flag","value_flag","evidence_text","classifier_task_category","classifier_task_confidence","classifier_aspect_category","classifier_aspect_confidence","classifier_evidence_type","classifier_evidence_confidence","classifier_polarity_score","classifier_polarity_confidence","classifier_firsthand_flag","classifier_firsthand_confidence","classifier_disagreement_count","reviewed_flag","human_excluded_from_scoring","human_exclusion_reason","human_provider_id","human_model_id","human_product_id","human_inference_profile","human_task_category","human_aspect_category","human_evidence_type","human_polarity_score","human_firsthand_flag","human_notes"
"3dec11e6efe64b138643bd075c68cf89","hacker_news","hacker_news","48411510","48421729","https://news.ycombinator.com/item?id=48421729","claude","anthropic","","","writing","regression_stability","comparative_evaluation","neutral","0","0.6799999999999999","False","False","False","False","False","Time vs effort balance is very different for the two cases. -- writing documents for each other takes weeks - write the document, give people time to review the document, discuss, update on review. -- writing documents for Claude takes minutes rather than hour - AI is used to assist in writing specs, personal instead of collective review/approval process.","","","","","","","","","true","0.537","1","","","","","","","","","","","","",""
"0aac24eb54f6438baa4fb7e66a499a34","hacker_news","hacker_news","48405221","48405221","https://news.ycombinator.com/item?id=48405221","claude-opus-4.8","anthropic","","","long_context","regression_stability","bug_regression_report","complaint","-1","0.8200000000000001","True","True","False","False","False","I'm not a marketing guy; the point of sharing this skill is to outline its regression setup. Briefly, here's how my exploration progressed: - I used GStack on a couple of products and realized the resulting design_document.md was leading me to failure, mainly marketing-wise. - I dug into the skill's failures manually with Claude Opus 4.8's help and ended up finding the correct solution.","","","","","","","","","true","0.571","0","","","","","","","","","","","","",""
"7205d80fe467408aae0f4698f75e3e42","hacker_news","hacker_news","48405221","48405221","https://news.ycombinator.com/item?id=48405221","claude","anthropic","","","coding","regression_stability","bug_regression_report","complaint","-2","0.8200000000000001","True","True","False","False","False","- I gave Claude the correct (manual) solution to analyze and add as a regression fixture with a scoring rubric. - Claude ran the (blind) regression — it failed. We iterated several times and found the key problem: Claude was trusting my prompts implicitly as the ultimate truth.","","","","","","","","","false","0.511","1","","","","","","","","","","","","",""
"dd3f62701427446885da525935eb1f7b","hacker_news","hacker_news","48416845","48421991","https://news.ycombinator.com/item?id=48421991","claude","anthropic","claude-code","","api_developer_workflow","regression_stability","bug_regression_report","praise","1","0.71","False","True","False","False","True","I am not sure if we are in a new moment in time where investments are something people do because of what used to be the best to do. And I am not saying avoid blitzscaling but do it without external capital. The hypothesis is that a small team, Claude Code subscriptions, apis and automation/code are enough to make it work via profit reinvested from sales.","","","","","","","","","false","0.536","0","","","","","","","","","","","","",""
"cb8d21ed33ef49ad8e220bc6851b7ffd","hacker_news","hacker_news","48405221","48405221","https://news.ycombinator.com/item?id=48405221","claude","anthropic","","","general","regression_stability","bug_regression_report","complaint","-2","0.7600000000000001","True","True","False","False","False","- I asked Claude to build a plan-cmo-review skill, ran it, and it arrived at a flawed solution (similar to GStack's output). - I gave Claude the correct (manual) solution to analyze and add as a regression fixture with a scoring rubric. - Claude ran the (blind) regression — it failed.","","","","","","","","","false","0.542","1","","","","","","","","","","","","",""
"5fc8bcfd2ab54b939f46b08e81ed087d","hacker_news","hacker_news","48405221","48405221","https://news.ycombinator.com/item?id=48405221","claude-opus-4.8","anthropic","","","general","regression_stability","bug_regression_report","complaint","-1","0.7300000000000001","True","True","False","False","False","- I dug into the skill's failures manually with Claude Opus 4.8's help and ended up finding the correct solution. - I asked Claude to build a plan-cmo-review skill, ran it, and it arrived at a flawed solution (similar to GStack's output). - I gave Claude the correct (manual) solution to analyze and add as a regression fixture with a scoring rubric.","","","","","","","","","false","0.503","1","","","","","","","","","","","","",""
"8949e6300c8041d4b872e86515d2f07b","hacker_news","hacker_news","48420827","48428224","https://news.ycombinator.com/item?id=48428224","claude","anthropic","","","agents","hallucination_safety","firsthand_usage","complaint","-2","0.83","True","False","True","False","False","I don't know how people let agents run wild in hours-long workflows, I can't even get Opus to stop running my test suite repeatedly to look for failures even though cargo test fails fast (the model already knows this), CLAUDE.md has the exact steps and commands for running the test suite, every invoked skill explains the same, and the hook rejects repeated attempts with the same explanation. It STILL, 90% of the time, uses whatever command it wants, bypasses the hook's cooldown to try a different grep because its own invented command didn't return any failures, and if it doesn't bypass the command it tries to wait it out so it can try again. Such a simple thing that it can't get right no matter what I've tried.","","","","","","","","","true","0.655","0","","","","","","","","","","","","",""
"3816b4959c00475484b6b2d897699d03","hacker_news","hacker_news","48411635","48416950","https://news.ycombinator.com/item?id=48416950","claude","anthropic","","","general","regression_stability","integration_failure","neutral","0","0.7100000000000001","True","False","False","False","False","The rubric, LLM used, and some example ratings are included in the methodology section. For now, the information was just stored per-bug in the DuckDB and used to filter out non-bug bugs, to get a clearer signal. I'm going to try to use it to see if the post-Claude bugs were more severe in any way next.","","","","","","","","","true","0.531","0","","","","","","","","","","","","",""
"92a333cc9bd7417194b6ae02ce8fef07","hacker_news","hacker_news","48413629","48416832","https://news.ycombinator.com/item?id=48416832","gpt-5.5","openai","openai-api","","coding","regression_stability","integration_failure","praise","1","0.86","True","False","False","False","False","Gpt-5.5 xtra high, Glm-5.1 (not recently because it's not as good, I used to like Kilocode with it, in previous major version 5(?), most recent Kilocode is streamlined into mediocrity, although you can still intall old version). Gemma4 on local ollama for specific non-coding tasks. Openai api proxy connected to my Codex sub, for cases where Gemma4 doesn't do that well.","","","","","","","","","true","0.565","0","","","","","","","","","","","","",""
"eff25807ba864ef98a0f1fce2a228eb3","hacker_news","hacker_news","48406174","48430601","https://news.ycombinator.com/item?id=48430601","claude","anthropic","","","coding","satisfaction","comparative_evaluation","neutral","0","0.56","False","False","False","False","False","Using Claude + VS code + HubSpot to seed a fully functional test environment in Hubspot with all functionality leveraged","","","","","","","","","true","0.618","1","","","","","","","","","","","","",""
