review_id,source_platform,community_id,thread_id,source_item_id,url,model_id,provider_id,product_id,inference_profile,task_category,aspect_category,evidence_type,claim_type,polarity_score,extractor_confidence,firsthand_flag,regression_flag,hallucination_flag,refusal_flag,value_flag,evidence_text,classifier_task_category,classifier_task_confidence,classifier_aspect_category,classifier_aspect_confidence,classifier_evidence_type,classifier_evidence_confidence,classifier_polarity_score,classifier_polarity_confidence,classifier_firsthand_flag,classifier_firsthand_confidence,classifier_disagreement_count,reviewed_flag,human_excluded_from_scoring,human_exclusion_reason,human_provider_id,human_model_id,human_product_id,human_inference_profile,human_task_category,human_aspect_category,human_evidence_type,human_polarity_score,human_firsthand_flag,human_notes
e2504277ed40423a9b18bc3c9e7e657a,hacker_news,hacker_news,46902223,46902542,https://news.ycombinator.com/item?id=46902542,claude,anthropic,,,general,satisfaction,hearsay,praise,1,0.53,False,False,False,False,False,Claude figured out zig’s ArrayList and io changes a couple weeks ago. It felt like it got better then very dumb again the last few days.,coding,0.472,regression_stability,0.222,bug_regression_report,0.234,2,0.118,true,0.723,5,True,False,,anthropic,claude,,,coding,regression_stability,bug_regression_report,-1,True,got better then very dumb again
49d404db25a1444ea7c2ff64c6cf9fa6,hacker_news,hacker_news,46037637,46039879,https://news.ycombinator.com/item?id=46039879,claude-opus-4.5,anthropic,,,general,satisfaction,hearsay,praise,1,0.53,False,False,False,False,False,CC started up with Opus 4.5 and... Not off to a good start. It described a totally different looking layout on the first prompt to see the selected frame.,multimodal,0.249,regression_stability,0.218,bug_regression_report,0.175,-1,0.291,true,0.565,5,True,False,,anthropic,claude-opus-4.5,,,multimodal,hallucination_safety,firsthand_usage,-1,True,described wrong layout from frame
cef98b9104fe4ab4bc9c63a2cb11b59f,hacker_news,hacker_news,47884971,47890995,https://news.ycombinator.com/item?id=47890995,deepseek,deepseek,,,general,satisfaction,hearsay,praise,1,0.53,False,False,False,False,False,"I haven't spent $1 yet in well over 10 million tokens. If I considered myself a 10X programmer, now I am 100X. Love DeepSeek.",coding,0.499,value,0.539,pricing_value_comment,0.574,2,0.447,true,0.646,5,True,False,,deepseek,deepseek,,,coding,value,pricing_value_comment,2,True,under $1 for 10M tokens
45a3a3a85f3b41b0adf0e98a067f7618,hacker_news,hacker_news,42823568,42828185,https://news.ycombinator.com/item?id=42828185,deepseek,deepseek,,,general,value,pricing_value_comment,neutral,0,0.53,False,False,False,False,True,Worth noting that people have been unpacking and analyzing DeepSeek-R1 vigorously for days already on X before it got to Hacker News — it wasn't always this way.,research,0.298,hallucination_safety,0.293,hearsay,0.307,-2,0.141,true,0.513,5,True,True,"meta commentary on discussion venues, no quality claim",,,,,,,,,,
2e4e416f4f164b96b3520fa2a02288a6,hacker_news,hacker_news,42843131,42845345,https://news.ycombinator.com/item?id=42845345,gemini,google,,,general,refusal_acceptance,hearsay,neutral,0,0.53,False,False,False,True,False,The same thing for Gemini got me a refusal message.,research,0.425,hallucination_safety,0.298,integration_failure,0.375,-2,0.662,true,0.679,5,True,False,,google,gemini,,,general,refusal_acceptance,firsthand_usage,-1,True,refusal for same request another model accepted
ff5698efb2954419b5e0eefb14f90237,hacker_news,hacker_news,47128138,47133175,https://news.ycombinator.com/item?id=47133175,gemini,google,,,general,satisfaction,hearsay,complaint,-1,0.53,False,False,False,False,False,Gemini 2.x failed (2nd section) or it succeeded (1st and 3rd) section. Or am I mis-understanding,research,0.712,trust_reliability,0.245,integration_failure,0.264,-2,0.433,true,0.596,5,True,True,"question about article inconsistency, no claim",,,,,,,,,,
390bdeeb3efd4cb0b90ed7ae09bff290,hacker_news,hacker_news,46287848,46338561,https://news.ycombinator.com/item?id=46338561,gemini-2.5,google,,,general,satisfaction,hearsay,complaint,-1,0.53,False,False,False,False,False,"With the maximum reasoning effort it's able to break out of the wrong route by rethinking the strategy. For example I gave it an onion address without the .onion part, and told it to figure out what this string means. All reasoning models including Gemini 2.5 and 3 assume it's a puzzle or a cipher (because they're trained on those) and start endlessly applying different algorithms to no avail.",research,0.783,hallucination_safety,0.413,benchmark_anecdote,0.238,-2,0.483,true,0.560,5,True,False,,google,gemini-2.5,,,general,satisfaction,firsthand_usage,-1,True,stuck applying cipher algorithms
9eb5b5ba61bb49ca83da76b1b15c598d,hacker_news,hacker_news,48182516,48192269,https://news.ycombinator.com/item?id=48192269,gpt-5,openai,,,general,satisfaction,hearsay,complaint,-1,0.53,False,False,False,False,False,"Never places things in the right files, constantly makes terrible edits (inline imports, edits without testing). Everything is so complicated when done by composer2, it's just a joke to me at this point. It clearly needs more handholding than Opus 4.x or GPT-5.x.",coding,0.574,regression_stability,0.192,firsthand_usage,0.164,-2,0.532,true,0.515,5,True,False,,openai,gpt-5,,,coding,satisfaction,comparative_evaluation,1,True,needs less handholding than composer2
e0c043c0769c45c0ba3a772ac679e02f,hacker_news,hacker_news,47460525,47461578,https://news.ycombinator.com/item?id=47461578,kimi,moonshot,,,general,satisfaction,hearsay,praise,1,0.53,False,False,False,False,False,"GLM, Kimi and their free models surprised me. Not the best, not perfect, but still very productive. I would be a wary shareholder if I owned a stake in the frontier labs… that moat seems to be shrinking fast.",data_analysis,0.917,value,0.256,pricing_value_comment,0.220,2,0.269,true,0.530,5,True,False,,moonshot,kimi,,,general,satisfaction,firsthand_usage,1,True,free models surprisingly productive
9355e9ea7ec34ac299f90f2c48cc12d5,hacker_news,hacker_news,47128138,47141268,https://news.ycombinator.com/item?id=47141268,llama,meta,,,general,satisfaction,hearsay,complaint,-1,0.53,False,False,False,False,False,"Note, it does not mention what assumption specifically. In my experiments, after the models got it wrong the first time (i.e. they weren't ""patched"" yet) adding that simple caveat fixed it for all of them except the older Llama models.",research,0.267,refusal_acceptance,0.239,integration_failure,0.248,-2,0.370,true,0.594,5,True,False,,meta,llama,,,general,trust_reliability,benchmark_anecdote,-1,True,older llamas not fixed by caveat
